Product_ID,Date,Price ($),Quantity Demanded
1,2024-01-01,1447,12
1,2024-01-02,1301,18
1,2024-01-03,839,37
1,2024-01-04,828,37
1,2024-01-05,1176,23
1,2024-01-06,882,35
1,2024-01-07,857,36
1,2024-01-08,1341,16
1,2024-01-09,946,32
1,2024-01-10,934,33
1,2024-01-11,1299,18
1,2024-01-12,857,36
1,2024-01-13,1088,26
1,2024-01-14,1221,21
1,2024-01-15,1497,10
1,2024-01-16,913,34
1,2024-01-17,1459,11
1,2024-01-18,888,35
1,2024-01-19,985,31
1,2024-01-20,800,38
1,2024-01-21,1449,12
1,2024-01-22,1309,17
1,2024-01-23,1481,10
1,2024-01-24,1165,23
1,2024-01-25,1250,20
1,2024-01-26,1490,10
1,2024-01-27,1404,14
1,2024-01-28,1179,23
1,2024-01-29,1295,18
1,2024-01-30,1448,12
1,2024-01-31,1062,27
1,2024-02-01,1384,14
1,2024-02-02,936,33
1,2024-02-03,1407,13
1,2024-02-04,1168,23
1,2024-02-05,1385,14
1,2024-02-06,940,32
1,2024-02-07,1399,14
1,2024-02-08,1171,23
1,2024-02-09,1497,10
1,2024-02-10,812,38
1,2024-02-11,1403,14
1,2024-02-12,909,34
1,2024-02-13,1246,20
1,2024-02-14,1064,27
1,2024-02-15,879,35
1,2024-02-16,958,32
1,2024-02-17,1015,29
1,2024-02-18,1454,12
1,2024-02-19,1241,20
1,2024-02-20,1116,25
1,2024-02-21,941,32
1,2024-02-22,1071,27
1,2024-02-23,1209,21
1,2024-02-24,1344,16
1,2024-02-25,1308,17
1,2024-02-26,991,30
1,2024-02-27,1209,21
1,2024-02-28,1452,12
1,2024-02-29,853,36
1,2024-03-01,1488,10
1,2024-03-02,1331,17
1,2024-03-03,866,35
1,2024-03-04,1411,13
1,2024-03-05,1438,12
1,2024-03-06,899,34
1,2024-03-07,1303,18
1,2024-03-08,830,37
1,2024-03-09,950,32
1,2024-03-10,922,33
1,2024-03-11,889,35
1,2024-03-12,1145,24
1,2024-03-13,1320,17
1,2024-03-14,1460,11
1,2024-03-15,1145,24
1,2024-03-16,931,33
1,2024-03-17,1348,16
1,2024-03-18,1287,18
1,2024-03-19,942,32
1,2024-03-20,1163,23
1,2024-03-21,1379,15
1,2024-03-22,1486,10
1,2024-03-23,945,32
1,2024-03-24,1285,18
1,2024-03-25,896,34
1,2024-03-26,1126,25
1,2024-03-27,1306,18
1,2024-03-28,1301,18
1,2024-03-29,1024,29
1,2024-03-30,1312,17
1,2024-03-31,976,31
1,2024-04-01,837,37
1,2024-04-02,847,36
1,2024-04-03,1068,27
1,2024-04-04,1291,18
1,2024-04-05,1013,29
1,2024-04-06,808,38
1,2024-04-07,1007,30
1,2024-04-08,1296,18
1,2024-04-09,1294,18
1,2024-04-10,1444,12
1,2024-04-11,1216,21
1,2024-04-12,1239,20
1,2024-04-13,931,33
1,2024-04-14,916,33
1,2024-04-15,1323,17
1,2024-04-16,1028,29
1,2024-04-17,838,37
1,2024-04-18,1061,28
1,2024-04-19,1298,18
1,2024-04-20,1191,22
1,2024-04-21,1193,22
1,2024-04-22,1489,10
1,2024-04-23,905,34
1,2024-04-24,828,37
1,2024-04-25,1098,26
1,2024-04-26,1028,29
1,2024-04-27,830,37
1,2024-04-28,807,38
1,2024-04-29,970,31
1,2024-04-30,1349,16
1,2024-05-01,1439,12
1,2024-05-02,806,38
1,2024-05-03,1248,20
1,2024-05-04,959,32
1,2024-05-05,1263,19
1,2024-05-06,1103,26
1,2024-05-07,992,30
1,2024-05-08,870,35
1,2024-05-09,958,32
1,2024-05-10,822,37
1,2024-05-11,1169,23
1,2024-05-12,868,35
1,2024-05-13,1389,14
1,2024-05-14,1268,19
1,2024-05-15,1050,28
1,2024-05-16,1345,16
1,2024-05-17,1297,18
1,2024-05-18,1083,27
1,2024-05-19,1452,12
1,2024-05-20,1235,20
1,2024-05-21,1401,14
1,2024-05-22,941,32
1,2024-05-23,1254,20
1,2024-05-24,1239,20
1,2024-05-25,1302,18
1,2024-05-26,1149,24
1,2024-05-27,970,31
1,2024-05-28,900,34
1,2024-05-29,1041,28
1,2024-05-30,1310,17
1,2024-05-31,858,36
1,2024-06-01,881,35
1,2024-06-02,1112,25
1,2024-06-03,1483,10
1,2024-06-04,1092,26
1,2024-06-05,991,30
1,2024-06-06,1307,18
1,2024-06-07,1449,12
1,2024-06-08,1491,10
1,2024-06-09,1192,22
1,2024-06-10,1123,25
1,2024-06-11,1234,20
1,2024-06-12,894,34
1,2024-06-13,827,37
1,2024-06-14,1459,11
1,2024-06-15,1269,19
1,2024-06-16,1468,11
1,2024-06-17,1180,23
1,2024-06-18,1096,26
1,2024-06-19,1255,20
1,2024-06-20,875,35
1,2024-06-21,1343,16
1,2024-06-22,1476,11
1,2024-06-23,1397,14
1,2024-06-24,906,34
1,2024-06-25,1472,11
1,2024-06-26,1211,21
1,2024-06-27,922,33
1,2024-06-28,975,31
1,2024-06-29,1464,11
1,2024-06-30,1262,19
1,2024-07-01,1310,17
1,2024-07-02,972,31
1,2024-07-03,1110,26
1,2024-07-04,1017,29
1,2024-07-05,853,36
1,2024-07-06,1453,12
1,2024-07-07,1383,14
1,2024-07-08,1144,24
1,2024-07-09,826,37
1,2024-07-10,1462,11
1,2024-07-11,907,34
1,2024-07-12,958,32
1,2024-07-13,1390,14
1,2024-07-14,1434,12
1,2024-07-15,1186,22
2,2024-01-01,2334,30
2,2024-01-02,1518,70
2,2024-01-03,1998,47
2,2024-01-04,2083,42
2,2024-01-05,1801,57
2,2024-01-06,1771,58
2,2024-01-07,2479,22
2,2024-01-08,2098,42
2,2024-01-09,1573,68
2,2024-01-10,2099,42
2,2024-01-11,1558,69
2,2024-01-12,2030,45
2,2024-01-13,2495,21
2,2024-01-14,2263,33
2,2024-01-15,2362,28
2,2024-01-16,2190,37
2,2024-01-17,2024,45
2,2024-01-18,1689,62
2,2024-01-19,1973,48
2,2024-01-20,2468,23
2,2024-01-21,1805,57
2,2024-01-22,1972,48
2,2024-01-23,1982,48
2,2024-01-24,2475,22
2,2024-01-25,1786,58
2,2024-01-26,1910,51
2,2024-01-27,1610,67
2,2024-01-28,1871,53
2,2024-01-29,1975,48
