Date,Product_ID,Market_Price,Base_Price,Quantity_Demanded
2024-01-01,1,1009.93,678.93,80
2024-01-02,1,1007.17,533.17,81
2024-01-03,1,1020.12,635.12,79
2024-01-04,1,1050.58,600.58,73
2024-01-05,1,1045.9,552.9,80
2024-01-06,1,1041.22,615.22,82
2024-01-07,1,1072.8,618.8,80
2024-01-08,1,1088.15,659.15,74
2024-01-09,1,1078.76,762.76,77
2024-01-10,1,1089.61,686.61,77
2024-01-11,1,1080.34,620.34,73
2024-01-12,1,1071.03,635.03,77
2024-01-13,1,1075.87,733.87,78
2024-01-14,1,1037.6,562.6,80
2024-01-15,1,1003.1,665.1,78
2024-01-16,1,991.86,522.86,79
2024-01-17,1,971.6,646.6,83
2024-01-18,1,977.89,579.89,82
2024-01-19,1,959.73,610.73,78
2024-01-20,1,931.48,500.0,79
2024-01-21,1,960.79,509.79,82
2024-01-22,1,956.28,644.28,81
2024-01-23,1,957.63,598.63,82
2024-01-24,1,929.13,500.0,83
2024-01-25,1,918.25,562.25,86
2024-01-26,1,920.46,585.46,84
2024-01-27,1,897.44,500.0,86
2024-01-28,1,904.96,585.96,82
2024-01-29,1,892.95,528.95,79
2024-01-30,1,887.11,580.11,88
2024-01-31,1,875.08,500.0,91
2024-02-01,1,912.12,500.0,84
2024-02-02,1,911.85,500.0,85
2024-02-03,1,890.7,500.0,86
2024-02-04,1,907.15,516.15,88
2024-02-05,1,882.73,500.0,88
2024-02-06,1,886.91,521.91,87
2024-02-07,1,847.72,516.72,88
2024-02-08,1,821.15,500.0,89
2024-02-09,1,825.09,500.0,86
2024-02-10,1,839.86,500.0,87
2024-02-11,1,843.29,500.0,90
2024-02-12,1,840.97,500.0,87
2024-02-13,1,834.95,500.0,88
2024-02-14,1,805.38,500.0,87
2024-02-15,1,790.98,500.0,91
2024-02-16,1,781.77,500.0,88
2024-02-17,1,802.91,500.0,90
2024-02-18,1,809.79,500.0,89
2024-02-19,1,774.53,500.0,88
2024-02-20,1,781.01,500.0,93
2024-02-21,1,773.31,500.0,91
2024-02-22,1,759.77,500.0,96
2024-02-23,1,772.0,500.0,94
2024-02-24,1,792.62,500.0,89
2024-02-25,1,811.25,500.0,88
2024-02-26,1,794.46,500.0,88
2024-02-27,1,788.28,500.0,87
2024-02-28,1,794.9,500.0,89
2024-02-29,1,814.41,500.0,92
2024-03-01,1,804.83,500.0,86
2024-03-02,1,801.12,500.0,92
2024-03-03,1,778.99,500.0,93
2024-03-04,1,755.07,500.0,93
2024-03-05,1,771.32,500.0,93
2024-03-06,1,798.44,500.0,88
2024-03-07,1,797.0,500.0,92
2024-03-08,1,817.07,500.0,88
2024-03-09,1,824.31,500.0,84
2024-03-10,1,811.4,500.0,90
2024-03-11,1,818.63,500.0,87
2024-03-12,1,849.39,500.0,90
2024-03-13,1,848.68,500.0,87
2024-03-14,1,879.97,528.97,86
2024-03-15,1,827.57,500.0,89
2024-03-16,1,844.01,532.01,87
2024-03-17,1,845.75,500.0,88
2024-03-18,1,839.77,500.0,90
2024-03-19,1,841.61,500.0,86
2024-03-20,1,801.86,500.0,89
2024-03-21,1,797.46,500.0,88
2024-03-22,1,804.6,500.0,93
2024-03-23,1,834.16,500.0,87
2024-03-24,1,823.8,500.0,89
2024-03-25,1,807.63,500.0,88
2024-03-26,1,797.59,500.0,90
2024-03-27,1,815.9,500.0,88
2024-03-28,1,822.48,500.0,90
2024-03-29,1,811.88,500.0,87
2024-03-30,1,822.15,500.0,86
2024-03-31,1,824.09,500.0,88
2024-04-01,1,843.46,521.46,86
2024-04-02,1,829.42,500.0,86
2024-04-03,1,822.87,500.0,88
2024-04-04,1,815.02,500.0,86
2024-04-05,1,785.75,500.0,94
2024-04-06,1,791.68,500.0,87
2024-04-07,1,796.9,500.0,89
2024-04-08,1,797.0,500.0,89
2024-04-09,1,792.31,500.0,94
2024-04-10,1,764.0,500.0,88
2024-04-11,1,755.59,500.0,93
2024-04-12,1,748.73,500.0,95
2024-04-13,1,732.69,500.0,93
2024-04-14,1,729.46,500.0,91
2024-04-15,1,737.54,500.0,93
2024-04-16,1,775.27,500.0,94
2024-04-17,1,778.76,500.0,90
2024-04-18,1,783.91,500.0,94
2024-04-19,1,782.42,500.0,91
2024-04-20,1,744.04,500.0,95
2024-04-21,1,743.51,500.0,93
2024-04-22,1,744.72,500.0,92
2024-04-23,1,793.98,500.0,94
2024-04-24,1,790.14,500.0,91
2024-04-25,1,796.17,500.0,91
2024-04-26,1,795.47,500.0,92
2024-04-27,1,772.1,500.0,93
2024-04-28,1,794.96,500.0,92
2024-04-29,1,809.99,500.0,87
2024-04-30,1,825.81,500.0,87
2024-05-01,1,807.63,500.0,88
2024-05-02,1,835.68,500.0,87
2024-05-03,1,807.65,500.0,88
2024-05-04,1,819.38,500.0,88
2024-05-05,1,863.19,500.0,88
2024-05-06,1,843.38,500.0,89
2024-05-07,1,832.06,500.0,88
2024-05-08,1,834.05,500.0,87
2024-05-09,1,823.98,500.0,91
2024-05-10,1,792.97,500.0,90
2024-05-11,1,794.34,500.0,92
2024-05-12,1,773.09,500.0,90
2024-05-13,1,782.56,500.0,92
2024-05-14,1,764.17,500.0,94
2024-05-15,1,795.17,500.0,85
2024-05-16,1,779.51,500.0,90
2024-05-17,1,773.07,500.0,93
2024-05-18,1,789.34,500.0,93
2024-05-19,1,764.72,500.0,92
2024-05-20,1,769.27,500.0,92
2024-05-21,1,795.41,500.0,93
2024-05-22,1,763.26,500.0,94
2024-05-23,1,766.95,500.0,90
2024-05-24,1,772.15,500.0,92
2024-05-25,1,787.79,500.0,91
2024-05-26,1,763.05,500.0,95
2024-05-27,1,736.64,500.0,95
2024-05-28,1,747.08,500.0,92
2024-05-29,1,753.02,500.0,93
2024-05-30,1,758.03,500.0,88
2024-05-31,1,764.96,500.0,94
2024-06-01,1,751.36,500.0,94
2024-06-02,1,756.0,500.0,95
2024-06-03,1,761.86,500.0,92
2024-06-04,1,747.58,500.0,93
2024-06-05,1,784.89,500.0,90
2024-06-06,1,794.37,500.0,88
2024-06-07,1,770.54,500.0,90
2024-06-08,1,783.67,500.0,87
2024-06-09,1,764.18,500.0,94
2024-06-10,1,779.92,500.0,87
2024-06-11,1,803.09,500.0,94
2024-06-12,1,786.68,500.0,87
2024-06-13,1,805.95,500.0,93
2024-06-14,1,814.2,503.2,87
2024-06-15,1,830.65,500.0,90
2024-06-16,1,868.58,504.58,85
2024-06-17,1,863.67,500.0,90
2024-06-18,1,848.6,500.0,88
2024-06-19,1,830.81,500.0,91
2024-06-20,1,814.49,500.0,89
