Date,Product_ID,Market_Price,Base_Price,Quantity_Demanded
2024-01-01,1,1054.97,973.97,41
2024-01-02,1,1053.58,918.58,39
2024-01-03,1,1060.06,884.06,40
2024-01-04,1,1075.29,896.29,38
2024-01-05,1,1072.95,1000.0,42
2024-01-06,1,1070.61,917.61,37
2024-01-07,1,1086.4,900.4,36
2024-01-08,1,1094.08,1000.0,37
2024-01-09,1,1089.38,1000.0,40
2024-01-10,1,1094.81,1000.0,42
2024-01-11,1,1090.17,942.17,37
2024-01-12,1,1085.51,986.51,40
2024-01-13,1,1087.93,1000.0,38
2024-01-14,1,1068.8,959.8,40
2024-01-15,1,1051.55,867.55,33
2024-01-16,1,1045.93,939.93,40
2024-01-17,1,1035.8,950.8,40
2024-01-18,1,1038.94,969.94,38
2024-01-19,1,1029.86,915.86,41
2024-01-20,1,1015.74,958.74,42
2024-01-21,1,1030.4,837.4,39
2024-01-22,1,1028.14,837.14,38
2024-01-23,1,1028.81,864.81,35
2024-01-24,1,1014.57,822.57,34
2024-01-25,1,1009.12,868.12,36
2024-01-26,1,1010.23,863.23,34
2024-01-27,1,998.72,883.72,38
2024-01-28,1,1002.48,921.48,44
2024-01-29,1,996.47,861.47,34
2024-01-30,1,993.56,893.56,42
2024-01-31,1,987.54,875.54,41
2024-02-01,1,1006.06,832.06,37
2024-02-02,1,1005.93,806.93,37
2024-02-03,1,995.35,888.35,37
2024-02-04,1,1003.58,896.58,41
2024-02-05,1,991.37,856.37,37
2024-02-06,1,993.46,895.46,35
2024-02-07,1,973.86,854.86,39
2024-02-08,1,960.58,896.58,40
2024-02-09,1,962.55,859.55,43
2024-02-10,1,969.93,819.93,37
2024-02-11,1,971.64,914.64,42
2024-02-12,1,970.49,868.49,41
2024-02-13,1,967.48,858.48,39
2024-02-14,1,952.69,795.69,37
2024-02-15,1,945.49,891.49,44
2024-02-16,1,940.89,788.89,35
2024-02-17,1,951.46,896.46,41
2024-02-18,1,954.89,796.89,35
2024-02-19,1,937.26,772.26,40
2024-02-20,1,940.5,797.5,36
2024-02-21,1,936.65,840.65,40
2024-02-22,1,929.88,781.88,36
2024-02-23,1,936.0,832.0,39
2024-02-24,1,946.31,845.31,38
2024-02-25,1,955.62,762.62,36
2024-02-26,1,947.23,885.23,40
2024-02-27,1,944.14,781.14,34
2024-02-28,1,947.45,774.45,35
2024-02-29,1,957.21,802.21,36
2024-03-01,1,952.42,756.42,33
2024-03-02,1,950.56,756.56,35
2024-03-03,1,939.5,770.5,33
2024-03-04,1,927.53,815.53,43
2024-03-05,1,935.66,867.66,39
2024-03-06,1,949.22,808.22,37
2024-03-07,1,948.5,841.5,39
2024-03-08,1,958.54,819.54,41
2024-03-09,1,962.15,796.15,33
2024-03-10,1,955.7,844.7,40
2024-03-11,1,959.32,887.32,43
2024-03-12,1,974.7,798.7,36
2024-03-13,1,974.34,788.34,33
2024-03-14,1,989.98,800.98,35
2024-03-15,1,963.79,785.79,39
2024-03-16,1,972.01,865.01,38
2024-03-17,1,972.88,801.88,39
2024-03-18,1,969.89,919.89,43
2024-03-19,1,970.8,887.8,43
2024-03-20,1,950.93,805.93,38
2024-03-21,1,948.73,773.73,35
2024-03-22,1,952.3,785.3,40
2024-03-23,1,967.08,870.08,41
2024-03-24,1,961.9,823.9,38
2024-03-25,1,953.81,787.81,38
2024-03-26,1,948.8,770.8,38
2024-03-27,1,957.95,892.95,43
2024-03-28,1,961.24,843.24,36
2024-03-29,1,955.94,884.94,40
2024-03-30,1,961.07,819.07,37
2024-03-31,1,962.04,837.04,37
2024-04-01,1,971.73,778.73,34
2024-04-02,1,964.71,829.71,37
2024-04-03,1,961.43,883.43,42
2024-04-04,1,957.51,839.51,40
2024-04-05,1,942.88,846.88,40
2024-04-06,1,945.84,802.84,37
2024-04-07,1,948.45,755.45,38
2024-04-08,1,948.5,814.5,38
2024-04-09,1,946.15,858.15,42
2024-04-10,1,932.0,783.0,36
2024-04-11,1,927.79,845.79,42
2024-04-12,1,924.37,774.37,40
2024-04-13,1,916.34,844.34,36
2024-04-14,1,914.73,855.73,41
2024-04-15,1,918.77,800.77,40
2024-04-16,1,937.63,788.63,40
2024-04-17,1,939.38,856.38,41
2024-04-18,1,941.95,754.95,36
2024-04-19,1,941.21,745.21,38
2024-04-20,1,922.02,777.02,40
2024-04-21,1,921.76,871.76,41
2024-04-22,1,922.36,804.36,39
2024-04-23,1,946.99,893.99,43
2024-04-24,1,945.07,880.07,45
2024-04-25,1,948.08,875.08,43
2024-04-26,1,947.74,818.74,38
2024-04-27,1,936.05,885.05,43
2024-04-28,1,947.48,770.48,32
2024-04-29,1,955.0,822.0,40
2024-04-30,1,962.91,773.91,37
2024-05-01,1,953.81,780.81,39
2024-05-02,1,967.84,885.84,41
2024-05-03,1,953.82,803.82,38
2024-05-04,1,959.69,898.69,41
2024-05-05,1,981.6,865.6,37
2024-05-06,1,971.69,857.69,38
2024-05-07,1,966.03,843.03,35
2024-05-08,1,967.02,875.02,42
2024-05-09,1,961.99,868.99,36
2024-05-10,1,946.48,868.48,45
2024-05-11,1,947.17,757.17,32
2024-05-12,1,936.55,875.55,45
2024-05-13,1,941.28,797.28,36
2024-05-14,1,932.09,837.09,41
2024-05-15,1,947.59,768.59,35
2024-05-16,1,939.75,855.75,44
2024-05-17,1,936.53,806.53,39
2024-05-18,1,944.67,805.67,40
2024-05-19,1,932.36,875.36,42
2024-05-20,1,934.63,792.63,39
2024-05-21,1,947.71,808.71,39
2024-05-22,1,931.63,767.63,36
2024-05-23,1,933.48,779.48,35
2024-05-24,1,936.08,752.08,33
2024-05-25,1,943.89,836.89,40
2024-05-26,1,931.53,768.53,36
2024-05-27,1,918.32,794.32,35
2024-05-28,1,923.54,754.54,38
2024-05-29,1,926.51,856.51,39
2024-05-30,1,929.01,742.01,33
2024-05-31,1,932.48,782.48,37
2024-06-01,1,925.68,777.68,36
2024-06-02,1,928.0,843.0,41
2024-06-03,1,930.93,785.93,42
2024-06-04,1,923.79,837.79,40
2024-06-05,1,942.45,881.45,40
2024-06-06,1,947.18,785.18,37
2024-06-07,1,935.27,873.27,40
2024-06-08,1,941.84,869.84,41
2024-06-09,1,932.09,784.09,38
2024-06-10,1,939.96,785.96,37
2024-06-11,1,951.55,872.55,41
2024-06-12,1,943.34,877.34,42
2024-06-13,1,952.97,790.97,40
2024-06-14,1,957.1,846.1,39
2024-06-15,1,965.32,832.32,39
2024-06-16,1,984.29,823.29,39
2024-06-17,1,981.84,846.84,39
2024-06-18,1,974.3,784.3,35
2024-06-19,1,965.4,897.4,43
2024-06-20,1,957.25,808.25,36
2024-06-21,1,956.47,767.47,35
2024-06-22,1,959.89,763.89,34
2024-06-23,1,962.65,837.65,40
2024-06-24,1,970.93,912.93,44
2024-06-25,1,971.06,894.06,42
2024-06-26,1,985.59,808.59,36
2024-06-27,1,982.94,881.94,38
2024-06-28,1,1010.15,878.15,37
2024-06-29,1,1016.4,856.4,35
2024-06-30,1,1007.83,814.83,31
2024-07-01,1,997.12,831.12,36
2024-07-02,1,1001.95,883.95,39
2024-07-03,1,999.71,851.71,42
2024-07-04,1,1006.85,817.85,39
2024-07-05,1,1011.58,937.58,42
2024-07-06,1,1010.86,838.86,41
2024-07-07,1,1002.39,900.39,43
2024-07-08,1,987.24,794.24,31
2024-07-09,1,982.77,876.77,42
2024-07-10,1,991.34,903.34,42
2024-07-11,1,993.48,835.48,37
2024-07-12,1,981.02,890.02,38
2024-07-13,1,982.75,791.75,37
2024-07-14,1,986.61,815.61,32
2024-07-15,1,977.77,795.77,36
2024-01-01,2,2493.83,2325.83,59
2024-01-02,2,2481.24,2292.24,53
2024-01-03,2,2493.13,2424.13,62
2024-01-04,2,2492.72,2438.72,63
2024-01-05,2,2494.46,2408.46,62
2024-01-06,2,2503.53,2317.53,56
2024-01-07,2,2503.45,2401.45,65
2024-01-08,2,2507.96,2359.96,56
2024-01-09,2,2516.12,2381.12,57
2024-01-10,2,2521.79,2364.79,56
2024-01-11,2,2524.65,2451.65,60
2024-01-12,2,2542.48,2412.48,57
2024-01-13,2,2554.9,2385.9,59
2024-01-14,2,2554.04,2446.04,62
2024-01-15,2,2544.94,2367.94,55
2024-01-16,2,2551.33,2388.33,55
2024-01-17,2,2553.49,2389.49,58
2024-01-18,2,2570.58,2507.58,61
2024-01-19,2,2580.45,2522.45,63
2024-01-20,2,2588.09,2499.09,61
2024-01-21,2,2588.22,2514.22,58
2024-01-22,2,2579.47,2427.47,60
2024-01-23,2,2577.49,2506.49,65
2024-01-24,2,2582.26,2529.26,61
2024-01-25,2,2564.96,2486.96,60
2024-01-26,2,2577.38,2419.38,58
2024-01-27,2,2598.05,2451.05,58
2024-01-28,2,2578.6,2492.6,62
2024-01-29,2,2564.6,2440.6,63
2024-01-30,2,2566.89,2447.89,59
2024-01-31,2,2561.07,2366.07,54
2024-02-01,2,2563.68,2386.68,53
2024-02-02,2,2562.96,2428.96,57
2024-02-03,2,2552.72,2461.72,60
2024-02-04,2,2565.6,2416.6,61
2024-02-05,2,2570.25,2480.25,59
2024-02-06,2,2564.65,2481.65,61
2024-02-07,2,2579.7,2513.7,62
2024-02-08,2,2574.62,2403.62,59
2024-02-09,2,2562.2,2437.2,64
2024-02-10,2,2564.04,2428.04,57
2024-02-11,2,2567.57,2401.57,56
2024-02-12,2,2572.89,2417.89,59
2024-02-13,2,2579.85,2444.85,60
2024-02-14,2,2585.01,2509.01,65
2024-02-15,2,2589.77,2483.77,61
2024-02-16,2,2584.03,2504.03,60
2024-02-17,2,2577.22,2394.22,57
2024-02-18,2,2584.64,2437.64,60
2024-02-19,2,2587.08,2526.08,64
2024-02-20,2,2595.28,2493.28,61
2024-02-21,2,2578.21,2391.21,58
2024-02-22,2,2573.2,2379.2,58
2024-02-23,2,2592.27,2421.27,59
2024-02-24,2,2597.8,2502.8,62
2024-02-25,2,2600.75,2487.75,59
2024-02-26,2,2607.83,2428.83,56
2024-02-27,2,2629.92,2526.92,62
2024-02-28,2,2649.9,2493.9,56
2024-02-29,2,2634.1,2534.1,61
2024-03-01,2,2622.0,2537.0,60
2024-03-02,2,2605.86,2441.86,57
2024-03-03,2,2598.39,2523.39,64
2024-03-04,2,2598.94,2520.94,61
2024-03-05,2,2601.36,2403.36,55
2024-03-06,2,2586.06,2526.06,59
2024-03-07,2,2567.38,2478.38,62
2024-03-08,2,2559.73,2499.73,63
2024-03-09,2,2568.9,2406.9,61
2024-03-10,2,2579.8,2491.8,60
2024-03-11,2,2596.86,2493.86,60
2024-03-12,2,2596.53,2449.53,58
2024-03-13,2,2604.82,2500.82,63
2024-03-14,2,2614.91,2454.91,57
2024-03-15,2,2609.95,2410.95,56
2024-03-16,2,2613.82,2495.82,60
2024-03-17,2,2620.41,2515.41,60
2024-03-18,2,2611.32,2529.32,60
2024-03-19,2,2627.74,2542.74,61
2024-03-20,2,2627.35,2430.35,57
2024-03-21,2,2628.22,2498.22,56
2024-03-22,2,2618.75,2460.75,57
2024-03-23,2,2610.96,2488.96,57
2024-03-24,2,2588.99,2499.99,63
2024-03-25,2,2589.54,2523.54,59
2024-03-26,2,2614.6,2436.6,55
2024-03-27,2,2604.41,2494.41,60
2024-03-28,2,2634.17,2481.17,60
2024-03-29,2,2648.32,2557.32,60
2024-03-30,2,2643.58,2569.58,60
2024-03-31,2,2643.85,2555.85,64
2024-04-01,2,2642.5,2558.5,58
2024-04-02,2,2659.56,2479.56,52
2024-04-03,2,2664.73,2507.73,58
2024-04-04,2,2676.55,2525.55,56
2024-04-05,2,2680.14,2533.14,56
2024-04-06,2,2679.02,2618.02,63
2024-04-07,2,2682.28,2614.28,62
2024-04-08,2,2678.21,2528.21,56
2024-04-09,2,2663.69,2570.69,58
2024-04-10,2,2671.83,2573.83,62
2024-04-11,2,2656.81,2590.81,63
2024-04-12,2,2654.13,2531.13,59
